127.0.0.1 - - [28/May/2021:09:35:42 +0200] "GET / HTTP/1.1" 404 681
127.0.0.1 - - [28/May/2021:09:35:46 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 9624
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/css/bootstrap.min.css HTTP/1.1" 200 113498
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/css/font-awesome.css HTTP/1.1" 200 26651
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/css/main.css HTTP/1.1" 200 418
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/js/dashboard.js HTTP/1.1" 304 -
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:35:47 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [28/May/2021:09:35:50 +0200] "GET /CDB-Maven/dashboard?bouton=100 HTTP/1.1" 200 53782
127.0.0.1 - - [28/May/2021:09:35:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:35:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:35:53 +0200] "GET /CDB-Maven/dashboard?num=1 HTTP/1.1" 200 53302
127.0.0.1 - - [28/May/2021:09:35:53 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:35:54 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:36:01 +0200] "GET /CDB-Maven/dashboard?num=2 HTTP/1.1" 200 52871
127.0.0.1 - - [28/May/2021:09:36:01 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:36:01 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:36:41 +0200] "GET /CDB-Maven/addComputer HTTP/1.1" 200 6674
127.0.0.1 - - [28/May/2021:09:36:41 +0200] "GET /CDB-Maven/js/verificationAddComputer.js HTTP/1.1" 304 -
127.0.0.1 - - [28/May/2021:09:36:46 +0200] "POST /CDB-Maven/addComputer HTTP/1.1" 302 -
127.0.0.1 - - [28/May/2021:09:36:46 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 9624
127.0.0.1 - - [28/May/2021:09:36:46 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:36:46 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:36:49 +0200] "GET /CDB-Maven/dashboard?bouton=100 HTTP/1.1" 200 53782
127.0.0.1 - - [28/May/2021:09:36:49 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:36:49 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:36:50 +0200] "GET /CDB-Maven/dashboard?boutonDebFin=1 HTTP/1.1" 200 5247
127.0.0.1 - - [28/May/2021:09:36:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:36:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:36:59 +0200] "GET /CDB-Maven/dashboard?bouton=10 HTTP/1.1" 200 9842
127.0.0.1 - - [28/May/2021:09:36:59 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:36:59 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:37:01 +0200] "GET /CDB-Maven/dashboard?bouton=50 HTTP/1.1" 200 29058
127.0.0.1 - - [28/May/2021:09:37:01 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:37:01 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:37:01 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [28/May/2021:09:37:03 +0200] "GET /CDB-Maven/dashboard?boutonDebFin=1 HTTP/1.1" 200 5249
127.0.0.1 - - [28/May/2021:09:37:03 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:37:03 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:37:06 +0200] "GET /CDB-Maven/dashboard?bouton=50 HTTP/1.1" 200 5249
127.0.0.1 - - [28/May/2021:09:37:06 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [28/May/2021:09:37:06 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [28/May/2021:09:37:10 +0200] "GET /CDB-Maven/dashboard?num=-1 HTTP/1.1" 200 29830
127.0.0.1 - - [28/May/2021:09:37:11 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
